0,488,0,12,0
1,484,4,12,0
2,480,8,11,1
3,472,15,12,1
4,469,18,11,2
5,466,19,13,2
6,461,24,13,2
7,455,30,11,4
8,453,32,11,4
9,442,41,12,5
10,434,46,14,6
11,423,56,14,7
12,419,59,15,7
13,411,66,13,10
14,402,69,19,10
15,389,79,22,10
16,382,81,24,13
17,379,82,26,13
18,365,89,32,14
19,354,96,36,14
20,340,102,42,16
21,326,114,41,19
22,315,120,41,24
23,308,123,44,25
24,299,122,52,27
25,283,130,56,31
26,267,143,58,32
27,249,156,62,33
28,233,165,65,37
29,222,171,68,39
30,209,174,75,42
31,196,184,71,49
32,176,191,79,54
33,157,199,84,60
34,143,206,87,64
35,137,209,86,68
36,124,215,89,72
37,109,218,95,78
38,97,221,101,81
39,82,222,109,87
40,69,224,116,91
41,61,223,121,95
42,53,222,128,97
43,49,222,131,98
44,41,214,140,105
45,36,208,146,110
46,32,210,145,113
47,28,209,143,120
48,22,203,149,126
49,19,199,147,135
50,13,197,145,145
51,13,188,149,150
52,12,177,154,157
53,9,169,157,165
54,7,162,159,172
55,4,157,156,183
56,4,148,154,194
57,4,137,153,206
58,4,131,151,214
59,4,125,146,225
60,1,122,148,229
61,1,118,141,240
62,0,117,134,249
63,0,113,134,253
64,0,109,133,258
65,0,101,131,268
66,0,91,134,275
67,0,89,129,282
68,0,86,125,289
69,0,77,125,298
70,0,72,125,303
71,0,71,114,315
72,0,67,109,324
73,0,66,102,332
74,0,63,99,338
75,0,59,99,342
76,0,58,99,343
77,0,51,103,346
78,0,49,97,354
79,0,46,95,359
80,0,46,93,361
81,0,42,93,365
82,0,40,90,370
83,0,39,86,375
84,0,39,82,379
85,0,38,78,384
86,0,34,82,384
87,0,31,80,389
88,0,30,77,393
89,0,30,74,396
90,0,30,67,403
91,0,30,66,404
92,0,27,68,405
93,0,27,64,409
94,0,25,63,412
95,0,23,63,414
96,0,23,59,418
97,0,23,55,422
98,0,21,55,424
99,0,20,54,426
100,0,19,50,431
101,0,18,46,436
102,0,18,45,437
103,0,16,44,440
104,0,16,42,442
105,0,15,41,444
106,0,15,39,446
107,0,15,39,446
108,0,14,38,448
109,0,14,37,449
110,0,14,35,451
111,0,12,36,452
112,0,9,38,453
113,0,8,38,454
114,0,8,38,454
115,0,8,36,456
116,0,8,32,460
117,0,8,31,461
118,0,8,30,462
119,0,8,29,463
120,0,8,28,464
121,0,8,26,466
122,0,7,26,467
123,0,4,28,468
124,0,4,25,471
125,0,4,25,471
126,0,4,22,474
127,0,4,22,474
128,0,4,22,474
129,0,4,19,477
130,0,4,18,478
131,0,4,18,478
132,0,4,18,478
133,0,4,17,479
134,0,4,17,479
135,0,3,18,479
136,0,3,16,481
137,0,3,16,481
138,0,3,15,482
139,0,2,15,483
140,0,1,15,484
141,0,1,14,485
142,0,1,13,486
143,0,1,12,487
144,0,1,11,488
145,0,1,10,489
146,0,1,9,490
147,0,1,9,490
148,0,1,9,490
149,0,1,9,490
150,0,1,8,491
151,0,1,8,491
